拠点,TownKey,都道府県,自治体,町名,丁目,共通ID,有効
愛知県1,愛知県|岡崎市|箱柳町,愛知県,岡崎市,箱柳町,,OKZ_C_01_08,有効
愛知県1,愛知県|岡崎市|高隆寺町,愛知県,岡崎市,高隆寺町,,OKZ_C_01_08,有効
愛知県1,愛知県|岡崎市|小美町,愛知県,岡崎市,小美町,,OKZ_E_05_12,有効
愛知県1,愛知県|岡崎市|明大寺町,愛知県,岡崎市,明大寺町,,OKZ_C_01_08,有効
愛知県1,愛知県|岡崎市|戸崎町,愛知県,岡崎市,戸崎町,,OKZ_W_13_18,有効
愛知県1,愛知県|岡崎市|鴨田町,愛知県,岡崎市,鴨田町,,OKZ_S_14_24,有効
愛知県1,愛知県|豊田市|西町,愛知県,豊田市,西町,,TYT_C_25_36,有効
愛知県1,愛知県|豊田市|小坂町,愛知県,豊田市,小坂町,,TYT_C_25_36,有効
愛知県1,愛知県|豊田市|神田町,愛知県,豊田市,神田町,,TYT_W_32_40,有効
愛知県2,愛知県|東海市|南柴田町,愛知県,東海市,南柴田町,,TKI_C_03_07,有効
愛知県2,愛知県|東海市|名和町,愛知県,東海市,名和町,,TKI_C_03_07,有効
愛知県2,愛知県|東海市|荒尾町,愛知県,東海市,荒尾町,,TKI_C_03_07,有効
愛知県2,愛知県|知多市|八幡,愛知県,知多市,八幡,,CTA_C_06_13,有効
愛知県2,愛知県|知多市|新知,愛知県,知多市,新知,,CTA_C_06_13,有効
